Symbol,Name
BAC,BANK of AMERICA
GE,GENERAL ELECTRIC
F,FORD MOTOR
PFE,PFIZER
ABX,BARRICK GOLD
C,CITIGROUP
JCP,JC PENNEY
EMC,EMC
T,AT&T
JPM,JP MORGAN CHASE
MS,MORGAN STANLEY
WFC,WELLS FARGO
FCX,FREEPORT-MCMORAN
VALE,VALE SA
HPQ,HEWLETT-PACKARD
PCS,METROPCS COMMUNICATIONS
AIG,AMERICAN INTL
PBR,PETROLEO BRASILEIRO
MRK,MERCK
DAL,DELTA AIR LINES
CLF,CLIFFS NATURAL RESOURCES
GLW,CORNING
CX,CEMEX SAB
KO,THE COCA-COLA
XOM,EXXON MOBIL
HAL,HALLIBURTON
VZ,VERIZON COMMUNICATIONS
TSM,TAIWAN SEMICONDUCTOR
GM,GENERAL MOTORS
MGM,MGM RESORTS INTL
NEM,NEWMONT MINING
WFT,WEATHERFORD INTL
PG,PROCTER & GAMBLE
USB,US BANCORP
VLO,VALERO ENERGY
PHM,PULTEGROUP
TXN,TEXAS INSTRUMENTS
JNJ,JOHNSON & JOHNSON
NLY,ANNALY CAPITAL
CHK,CHESAPEAKE ENERGY
X,UNITED STATES STEEL
AUY,YAMANA GOLD
DIS,WALT DISNEY
MO,ALTRIA
RDN,RADIAN GROUP
GG,GOLDCORP
MBI,MBIA
SCHW,CHARLES SCHWAB
JNPR,JUNIPER NETWORKS
CAT,CATERPILLAR
DOW,THE DOW CHEMICAL
BMY,BRISTOL-MYERS SQUIBB
LOW,LOWES COMPANIES
BTU,PEABODY ENERGY
PBR.A,PETROLEO BRASILEIRO
MET,METLIFE
WU,WESTERN UNION
ITUB,ITAU UNIBANCO HOLDINGS
BBY,BEST BUY
HTZ,HERTZ GLOBAL HOLDINGS
DD,EI DU PONT DE NEMOURS
AMX,AMERICA MOVIL
MT,ARCELORMITTAL
WMT,WAL-MART STORES
WLT,WALTER ENERGY
ELN,ELAN
SLW,SILVER WHEATON
HIG,HARTFORD FINANCIAL
SLB,SCHLUMBERGER
OXY,OCCIDENTAL PETROLEUM
COP,CONOCOPHILLIPS
CSX,CSX
HD,HOME DEPOT
BP,BP
HMA,HEALTH MGMT ASSOC
BBD,BANCO BRADESCO
SWY,SAFEWAY
LUV,SOUTHWEST AIRLINES
ABT,ABBOTT LABORATORIES
LCC,US AIRWAYS GROUP
HST,HOST HOTELS & RESORTS
EXC,EXELON
UNH,UNITEDHEALTH GROUP
DHI,DR HORTON
CVX,CHEVRON
TWO,TWO HARBORS INVESTMENT
WMB,THE WILLIAMS COMPANIES
SU,SUNCOR ENERGY
COH,COACH
TWX,TIME WARNER
PBI,PITNEY BOWES
TLM,TALISMAN ENERGY
BK,BANK of NEW YORK MELLON
CBS,CBS
IPG,THE INTERPUBLIC GROUP
LVS,LAS VEGAS SANDS
AES,THE AES
MAS,MASCO
WAG,WALGREEN
NCT,NEWCASTLE INVESTMENT
